runID,scenarioLabel,numDoctors,numNurses,numRooms,arrivalRatePerHour,triageMeanMinutes,seed,patientsArrived,patientsDischarged,completionRatePct,avgWaitTimeMin,maxWaitTimeMin,avgQueueLength,avgDoctorUtilPct,avgNurseUtilPct,avgRoomUtilPct,executionTimeMs,passWaitTime,passQueueLength,passCompletionRate,passDoctorUtil
1,"Run01 | Baseline (4 doc, λ=12, triage=5)",4,3,8,12.0000,5.0000,42,283,283,100.0000,239.5823,1238.7199,37.5642,123.7288,30.8116,61.8644,162,FAIL,FAIL,PASS,FAIL
2,"Run02 | +1 Doctor (5 doc, λ=12, triage=5)",5,3,8,12.0000,5.0000,42,279,279,100.0000,34.6850,201.5948,5.7802,97.3999,30.9549,60.8749,23,FAIL,PASS,PASS,FAIL
3,"Run03 | +2 Doctor (6 doc, λ=12, triage=5)",6,3,8,12.0000,5.0000,42,299,299,100.0000,14.2520,148.8121,1.8272,90.4646,30.0564,67.8485,95,PASS,PASS,PASS,FAIL
4,"Run04 | Low arrival   (4 doc, λ=10, triage=5)",4,3,8,10.0000,5.0000,42,214,214,100.0000,67.6071,380.5828,9.0125,97.1678,25.9037,48.5839,13,FAIL,PASS,PASS,FAIL
5,"Run05 | High arrival  (4 doc, λ=15, triage=5)",4,3,8,15.0000,5.0000,42,370,370,100.0000,720.7214,2068.0848,105.8883,167.5833,37.3238,83.7916,17,FAIL,FAIL,PASS,FAIL
6,"Run06 | Very high arr (4 doc, λ=18, triage=5)",4,3,8,18.0000,5.0000,42,408,408,100.0000,744.1367,2125.3028,109.7549,178.0840,37.1817,89.0420,5,FAIL,FAIL,PASS,FAIL
7,"Run07 | Fast triage  (4 doc, λ=12, triage=3)",4,3,8,12.0000,3.0000,42,295,295,100.0000,323.7195,1512.5116,48.4395,129.2495,20.6148,64.6247,4,FAIL,FAIL,PASS,FAIL
8,"Run08 | Mid triage  (4 doc, λ=12, triage=5.5)",4,3,8,12.0000,5.5000,42,289,289,100.0000,178.2449,960.0935,24.5928,122.7867,33.6490,61.3933,3,FAIL,FAIL,PASS,FAIL
9,"Run09 | Slow triage  (4 doc, λ=12, triage=8)",4,3,8,12.0000,8.0000,42,291,291,100.0000,165.9077,1015.4890,26.0298,118.8669,43.7049,59.4335,3,FAIL,FAIL,PASS,FAIL
10,"Run10 | Max stress   (4 doc, λ=18, triage=8)",4,3,8,18.0000,8.0000,42,403,403,100.0000,612.9949,1979.5675,95.2506,164.6627,35.3345,82.3313,123,FAIL,FAIL,PASS,FAIL
11,"Run11 | Optimal      (6 doc, λ=12, triage=3)",6,4,10,12.0000,3.0000,42,300,300,100.0000,24.6401,267.6503,4.5378,90.5443,15.9561,54.3266,4,PASS,PASS,PASS,FAIL
12,"Run12 | Baseline seed=99 (4 doc, λ=12, triage=5)",4,3,8,12.0000,5.0000,99,288,288,100.0000,314.3225,1390.8203,49.3727,126.1953,29.9195,63.0977,7,FAIL,FAIL,PASS,FAIL
13,"Run13 | Scenario D (5 doc, 4 nur, λ=12, triage=5)",5,4,10,12.0000,5.0000,42,323,323,100.0000,267.1689,1383.9578,49.0877,118.2601,27.8471,59.1301,162,FAIL,FAIL,PASS,FAIL
